"","3030-Angiocardiography","3040-Audiology","3050-Bacteriology and Microbiology","3070-Birthing Center","3120-Cardiac Catheterization Laboratory","3140-Cardiology","3180-Chemistry","3190-Chemotherapy","3220-Circumcision","3230-CAT Scan","3240-Cytology","3260-Echocardiography","3280-EKG and EEG","3290-Electromyography","3320-Electroshock Therapy","3340-Gastro Intestinal Services","3350-Hematology","3360-Histology","3370-Holter Monitor","3380-Immunology","3390-Laboratory - Clinical","3420-Laboratory - Pathological","3430-Magnetic Resonance Imaging (MRI)","3440-Mammography","3450-Nuclear Medicine-Diagnostic","3480-Oncology","3540-Prosthetic Devices","3550-Psychiatric/Psychological Services","3560-Pulmonary Function Testing","3620-Stress Test","3630-Ultra Sound","3640-Urology","3650-Vascular Lab","3700-Operating Room","3800-Recovery Room","3900-Delivery Room & Labor Room","4000-Anesthesiology","4100-Radiology - Diagnostic","4200-Radiology-Therapeutic","4600-Whole Blood & Packed Red Blood Cells","4700-Blood Storing, Processing, & Trans.","4800-Intravenous Therapy","4900-Respiratory Therapy","5000-Physical Therapy","5100-Occupational Therapy","5200-Speech Pathology","5500-Med Supplies Charged to Patient","5600-Drugs Charged to Patients","5700-Renal Dialysis","5800-ASC","6000-Clinic","6100-Emergency","6201-Observation Beds (Distinct Part)","8600-Other Organ Acquisition (Specify)","PCCR_OR_and_Anesth_Costs"
"Abortion w D&C, aspiration curettage or hysterotomy",0,0,0,0,0,0,809,0,0,2560,0,0,0,0,0,0,526,174.75,0,1538,1036.47444444444,457.251111111111,0,0,0,0,0,0,0,0,1154.395,0,1015.81,5014.78222222222,973.756666666667,5169.72666666667,803.42625,328,0,0,1738.85,604.666666666667,0,0,0,0,430.058,1121.015,0,0,0,2937.06428571429,1169.64,0,5818.20847222222
"Abortion w/o D&C ",0,0,669.5,3557.41,0,0,354,0,0,1100,0,0,0,0,0,0,0,0,0,248,679.329,390.32125,3581,0,0,0,0,0,0,0,636.023333333333,0,0,0,534.255714285714,3629.215,330.99,0,0,0,1698.45,0,0,0,0,0,218.27,666.749,0,0,0,0,0,0,330.99
"Acute & subacute endocarditis w CC ",0,0,379,0,0,1925,694.5,0,0,5663.1,0,2738.932,301.866,0,0,0,0,0,0,0,2879.21111111111,0,5000,0,0,0,0,0,0,0,600.465714285714,0,995.525,1897.892,0,0,0,502.940909090909,0,0,0,1214,794.775,488.97,586.44,1587.235,377.865,3794.85411764706,0,0,110,2781.25333333333,0,0,1897.892
"Acute & subacute endocarditis w MCC",0,0,1728.0625,0,0,2441,1812.3125,0,0,3754.781,0,3423.49571428571,767.829090909091,0,0,0,897.125,0,0,198,4092.17692307692,110.2,5399.235,0,0,0,0,0,137.24,0,696.3,0,897,2840.776,0,0,596.8,1460.71090909091,0,0,2380.4425,699.25,1237.3,1371.184,545.66,661.75,1040.63142857143,7477.87846153846,0,914,144,1675.714,0,0,3437.576
"Acute adjustment reaction & psychosocial dysfunction",0,0,492,0,0,1916.33333333333,641.166666666667,0,0,2300.79,0,1620.90666666667,902.286666666667,0,0,0,246,0,0,0,1280.37078947368,129.52,4154.39692307692,0,0,0,0,0,181.66,0,1692.2,0,1076.075,171.87,0,0,0,444.840454545455,0,0,0,764.285714285714,2870.02933333333,742.6325,556.033333333333,992.9,933.147777777778,960.867246376812,0,0,165.5,1594.6175,1574.2,0,171.87
"Acute ischemic stroke w use of thrombolytic agent w CC",0,0,0,0,0,0,0,0,0,10276.4421428571,0,2254.36666666667,404,0,0,0,0,0,0,0,1769.185,0,4280.5875,0,0,0,0,0,0,0,0,0,3439.06,1747.49,0,0,0,567.7575,0,0,1544.7,0,1024.48,679.4,693.932307692308,1274.904,1450.17,21960.3228571429,0,0,194,5147.00714285714,0,0,1747.49
"Acute ischemic stroke w use of thrombolytic agent w MCC",0,0,0,0,0,0,0,0,0,11184.7266666667,0,2278.3,623.21,0,0,0,0,0,0,0,1969.02166666667,0,3451,0,0,0,0,0,0,0,0,0,3256,0,0,0,0,523.94,0,0,0,0,0,671.82,752.3525,1429.3725,0,23628.785,0,0,0,7350.22333333333,0,0,0
"Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC",0,0,0,0,0,0,0,0,0,10352.84,0,0,0,0,0,0,0,0,0,0,1088.42,0,3518.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.61,0,0,0,0,0,531.45,0,0,0,23986.93,0,0,0,7383.62,0,0,0
"Acute leukemia w/o major O.R. procedure w CC",0,0,0,0,0,0,0,1269.55,0,4626.882,0,2312.17,143.125,0,0,0,0,583.77,0,953.5,7103.44545454545,3828.55142857143,0,0,0,840,0,0,0,0,1191.55666666667,0,897,7224.735,1426.78,0,1899.84333333333,945.411111111111,0,0,8385.582,324.09,9855.4,1155.86857142857,1108.32,1223.07,1091.5775,21813.2,0,0,110,1707.296,863.04,0,9124.57833333333
"Acute leukemia w/o major O.R. procedure w MCC",0,0,0,0,0,0,0,3048.75,0,8463.06,1092.27,2421.615,370.285714285714,0,0,2331,0,0,0,373.08,13754.925625,5609.49363636364,0,0,0,683,0,0,247,0,795.284444444444,0,1136.2625,5844.21416666667,1000.91333333333,0,846.544,1629.67571428571,0,0,34406.0064285714,907.288,5232.53285714286,1165.18125,1235.26666666667,4413.56,450.763636363636,36541.5433333333,0,6037.605,195,2535.965,0,0,6690.75816666667
