Contract ID,Plan ID,Organization Type,Plan Type,Offers Part D,SNP Plan,EGHP,Organization Name,Organization Marketing Name,Plan Name,Parent Organization,Contract Effective Date
90091,,HCPP - 1833 Cost,HCPP - 1833 Cost,No,No,No,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,United Mine Workers of America Health & Retirement,,UMWA Health and Retirement Funds,02/01/1974
E0654,801,Employer/Union Only Direct Contract PDP,Employer/Union Only Direct Contract PDP,Yes,No,Yes,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust (Employer PDP),IBT Voluntary Employee Benefits Trust,01/01/2007
E3014,801,Employer/Union Only Direct Contract PDP,Employer/Union Only Direct Contract PDP,Yes,No,Yes,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,PSERS Health Options Program (Employer PDP),Commonwealth of PA Pub Schools Retirement System,01/01/2007
E3014,802,Employer/Union Only Direct Contract PDP,Employer/Union Only Direct Contract PDP,Yes,No,Yes,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,PSERS Health Options Program Value (Employer PDP),Commonwealth of PA Pub Schools Retirement System,01/01/2007
E4744,801,Employer/Union Only Direct Contract PDP,Employer/Union Only Direct Contract PDP,Yes,No,Yes,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri Department of Transportatio/ Highway Patr (Employer PDP),Missouri Highways and Transportation Commission,01/01/2007
H0022,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio,Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan),Centene Corporation,05/01/2014
H0028,4,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-004 (HMO),Humana Inc.,01/01/2013
H0028,7,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CHA HMO, INC.",Humana,Humana Gold Plus SNP-DE H0028-007 (HMO SNP),Humana Inc.,01/01/2013
H0028,11,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-011 (HMO),Humana Inc.,01/01/2013
H0028,12,Local CCP,HMO/HMOPOS,No,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-012 (HMO),Humana Inc.,01/01/2013
H0028,13,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-013 (HMO),Humana Inc.,01/01/2013
H0028,14,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-014 (HMO),Humana Inc.,01/01/2013
H0028,15,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CHA HMO, INC.",Humana,Humana Gold Plus SNP-DE H0028-015 (HMO SNP),Humana Inc.,01/01/2013
H0028,16,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-016 (HMO),Humana Inc.,01/01/2013
H0028,17,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-017 (HMO),Humana Inc.,01/01/2013
H0028,18,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Value Plus H0028-018 (HMO),Humana Inc.,01/01/2013
H0028,19,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-019 (HMO),Humana Inc.,01/01/2013
H0028,20,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-020 (HMO),Humana Inc.,01/01/2013
H0028,21,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-021 (HMO),Humana Inc.,01/01/2013
H0028,22,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-022 (HMO),Humana Inc.,01/01/2013
H0028,23,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-023 (HMO),Humana Inc.,01/01/2013
H0028,24,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-024 (HMO),Humana Inc.,01/01/2013
H0028,25,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-025 (HMO),Humana Inc.,01/01/2013
H0028,26,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-026 (HMO),Humana Inc.,01/01/2013
H0028,27,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-027 (HMO),Humana Inc.,01/01/2013
H0028,28,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-028 (HMO),Humana Inc.,01/01/2013
H0028,29,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-029 (HMO),Humana Inc.,01/01/2013
H0028,30,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-030 (HMO),Humana Inc.,01/01/2013
H0028,31,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CHA HMO, INC.",Humana,Humana Gold Plus SNP-DE H0028-031 (HMO SNP),Humana Inc.,01/01/2013
H0028,32,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CHA HMO, INC.",Humana,Humana Gold Plus SNP-DE H0028-032 (HMO SNP),Humana Inc.,01/01/2013
H0028,33,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CHA HMO, INC.",Humana,Humana Gold Plus SNP-DE H0028-033 (HMO SNP),Humana Inc.,01/01/2013
H0028,34,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CHA HMO, INC.",Humana,Humana Gold Plus SNP-DE H0028-034 (HMO SNP),Humana Inc.,01/01/2013
H0028,35,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-035 (HMO),Humana Inc.,01/01/2013
H0028,36,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CHA HMO, INC.",Humana,Humana Gold Plus SNP-DE H0028-036 (HMO SNP),Humana Inc.,01/01/2013
H0028,37,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-037 (HMO),Humana Inc.,01/01/2013
H0028,38,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-038 (HMO),Humana Inc.,01/01/2013
H0028,39,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CHA HMO, INC.",Humana,Humana Gold Plus - Diabetes and Heart (HMO SNP),Humana Inc.,01/01/2013
H0028,40,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CHA HMO, INC.",Humana,Humana Gold Plus - Diabetes and Heart (HMO SNP),Humana Inc.,01/01/2013
H0028,41,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-041 (HMO),Humana Inc.,01/01/2013
H0028,42,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-042 (HMO),Humana Inc.,01/01/2013
H0028,43,Local CCP,HMO/HMOPOS,Yes,No,No,"CHA HMO, INC.",Humana,Humana Gold Plus H0028-043 (HMO),Humana Inc.,01/01/2013
H0028,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CHA HMO, INC.",Humana,Humana Medicare Employer (HMO),Humana Inc.,01/01/2013
H0028,802,Local CCP,HMO/HMOPOS,No,No,Yes,"CHA HMO, INC.",Humana,Humana Medicare Employer (HMO),Humana Inc.,01/01/2013
H0029,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,"COORDINATED CARE OF WASHINGTON, INC.",Allwell,Allwell Group (HMO),Centene Corporation,01/01/2018
H0029,802,Local CCP,HMO/HMOPOS,No,No,Yes,"COORDINATED CARE OF WASHINGTON, INC.",Allwell,Allwell Group (HMO),Centene Corporation,01/01/2018
H0029,803,Local CCP,HMO/HMOPOS,Yes,No,Yes,"COORDINATED CARE OF WASHINGTON, INC.",Allwell,Allwell Group (HMO),Centene Corporation,01/01/2018
H0062,1,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,01/01/2017
H0062,2,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,01/01/2017
H0062,3,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,01/01/2017
H0062,4,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,01/01/2017
H0062,5,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,01/01/2017
H0062,9,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,01/01/2017
H0062,10,Local CCP,HMO/HMOPOS,Yes,No,No,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,01/01/2017
H0062,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Group (HMO),Centene Corporation,01/01/2017
H0062,802,Local CCP,HMO/HMOPOS,No,No,Yes,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Group (HMO),Centene Corporation,01/01/2017
