Organization Marketing Name;MajorInsuranceOrgName
Absolute Total Care;Absolute Total Care
Aetna Better Health of Ohio (HMO SNP);Aetna Health Inc.
Aetna Better Health of Ohio, MyCare Ohio;Aetna Health Inc.
Aetna Better Health of Virginia;Aetna Health Inc.
Aetna Better Health Premier Plan;Aetna Health Inc.
AETNA HEALTH INC. (GA);Aetna Health Inc.
Aetna Medicare;Aetna Health Inc.
AgeRight Advantage Health Plan (HMO SNP);AgeRight Advantage Health Plan (HMO SNP)
AgeWell New York;AgeWell New York
AHF;AHF
ALBRIGHT CARE SERVICES;ALBRIGHT CARE SERVICES
Alexian Brothers Community Services;Alexian Brothers Community Services
Alignment Health Plan;Alignment Health Plan
AllCare Advantage;AllCare Advantage
Allina Health Aetna Medicare;Aetna Health Inc.
Allwell;Allwell
AlohaCare;AlohaCare
AltaMed Health Services Corporation;AltaMed Health Services Corporation
American Health Advantage of Oklahoma;American Health Advantage of Oklahoma
American Health Advantage of Tennessee;American Health Advantage of Tennessee
America's 1st Choice of South Carolina;America's 1st Choice of South Carolina
AMERIGROUP;AMERIGROUP
Amerigroup Community Care;Amerigroup Community Care
Amerigroup Community Care of New Mexico;Amerigroup Community Care of New Mexico
Amerigroup STAR+PLUS MMP;Amerigroup STAR+PLUS MMP
AmeriHealth Caritas VIP Care Plus;AmeriHealth Caritas VIP Care Plus
Anthem Blue Cross;BlueCrossBlueShield
Anthem Blue Cross and Blue Shield;BlueCrossBlueShield
Anthem Blue Cross Cal MediConnect;BlueCrossBlueShield
Anthem Blue Cross Life and Health Insurance Co.;BlueCrossBlueShield
Anthem HealthKeepers;Anthem HealthKeepers
Appalachian Agency for Senior Citizens, Inc,;Appalachian Agency for Senior Citizens, Inc,
ArchCare Advantage;ArchCare Advantage
ArchCare Senior Life;ArchCare Senior Life
ARKANSAS BLUE CROSS AND BLUE SHIELD;BlueCrossBlueShield
Aspire Health Plan;Aspire Health Plan
Asuris Northwest Health;Asuris Northwest Health
AtlantiCare LIFE Connection;AtlantiCare LIFE Connection
ATRIO Health Plans;ATRIO Health Plans
AvMed Medicare;AvMed Medicare
Banner - University Care Advantage;Banner - University Care Advantage
BayCare Health Plans;BayCare Health Plans
Beacon of LIFE;Beacon of LIFE
Bienvivir Senior Health Services;Bienvivir Senior Health Services
Blue Care Network;BlueCrossBlueShield
Blue Cross & Blue Shield of Rhode Island;BlueCrossBlueShield
Blue Cross and Blue Shield of Alabama;BlueCrossBlueShield
Blue Cross and Blue Shield of IL, NM;BlueCrossBlueShield
Blue Cross and Blue Shield of Kansas City (Blue KC;BlueCrossBlueShield
Blue Cross and Blue Shield of Louisiana;BlueCrossBlueShield
Blue Cross and Blue Shield of Minnesota;BlueCrossBlueShield
Blue Cross and Blue Shield of Montana;BlueCrossBlueShield
Blue Cross and Blue Shield of Nebraska;BlueCrossBlueShield
Blue Cross and Blue Shield of New Mexico;BlueCrossBlueShield
Blue Cross and Blue Shield of North Carolina;BlueCrossBlueShield
Blue Cross and Blue Shield of OK;BlueCrossBlueShield
Blue Cross and Blue Shield of Texas;BlueCrossBlueShield
Blue Cross Blue Shield of Arizona Advantage;BlueCrossBlueShield
Blue Cross Blue Shield of Massachusetts;BlueCrossBlueShield
Blue Cross Blue Shield of Michigan;BlueCrossBlueShield
