"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"90091","","HCPP - 1833 Cost","HCPP - 1833 Cost","No","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","United Mine Workers of America Health & Retirement","","UMWA Health and Retirement Funds","02/01/1974","46213"
"E0654","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","IBT VOLUNTARY EMPLOYEE BENEFITS TRUST","TEAMStar Medicare Part D Prescription Drug Program","IBT Voluntary Employee Benefits Trust (Employer PDP)","IBT Voluntary Employee Benefits Trust","01/01/2007","16635"
"E3014","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS Health Options Program (Employer PDP)","Commonwealth of PA Pub Schools Retirement System","01/01/2007","91686"
"E3014","802","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS Health Options Program Value (Employer PDP)","Commonwealth of PA Pub Schools Retirement System","01/01/2007","2265"
"E4744","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN","MISSOURI DEPARTMENT OF TRANSPORTATION","Missouri Department of Transportatio/ Highway Patr (Employer PDP)","Missouri Highways and Transportation Commission","01/01/2007","6336"
"H0022","001","Demo","Medicare-Medicaid Plan HMO","Yes","BUCKEYE COMMUNITY HEALTH PLAN, INC.","Buckeye Health Plan - MyCare Ohio","Buckeye Health Plan - MyCare Ohio (Medicare-Medicaid Plan)","Centene Corporation","05/01/2014","13205"
"H0028","004","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-004 (HMO)","Humana Inc.","01/01/2013","6729"
"H0028","007","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-007 (HMO SNP)","Humana Inc.","01/01/2013","212"
"H0028","011","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-011 (HMO)","Humana Inc.","01/01/2013","15959"
"H0028","012","Local CCP","HMO","No","CHA HMO, INC.","Humana","Humana Gold Plus H0028-012 (HMO)","Humana Inc.","01/01/2013","148"
"H0028","013","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-013 (HMO)","Humana Inc.","01/01/2013","4869"
"H0028","014","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-014 (HMO)","Humana Inc.","01/01/2013","12465"
"H0028","015","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-015 (HMO SNP)","Humana Inc.","01/01/2013","4451"
"H0028","016","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-016 (HMO)","Humana Inc.","01/01/2013","6138"
"H0028","017","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-017 (HMO)","Humana Inc.","01/01/2013","22243"
"H0028","018","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Value Plus H0028-018 (HMO)","Humana Inc.","01/01/2013","699"
"H0028","019","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-019 (HMO)","Humana Inc.","01/01/2013","11238"
"H0028","020","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-020 (HMO)","Humana Inc.","01/01/2013","1456"
"H0028","021","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-021 (HMO)","Humana Inc.","01/01/2013","9724"
"H0028","022","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-022 (HMO)","Humana Inc.","01/01/2013","1561"
"H0028","023","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-023 (HMO)","Humana Inc.","01/01/2013","3405"
"H0028","024","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-024 (HMO)","Humana Inc.","01/01/2013","10810"
"H0028","025","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-025 (HMO)","Humana Inc.","01/01/2013","26196"
"H0028","026","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-026 (HMO)","Humana Inc.","01/01/2013","4672"
"H0028","027","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-027 (HMO)","Humana Inc.","01/01/2013","29379"
"H0028","028","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-028 (HMO)","Humana Inc.","01/01/2013","12619"
"H0028","029","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-029 (HMO)","Humana Inc.","01/01/2013","12546"
"H0028","030","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-030 (HMO)","Humana Inc.","01/01/2013","22381"
"H0028","031","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-031 (HMO SNP)","Humana Inc.","01/01/2013","3743"
"H0028","032","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-032 (HMO SNP)","Humana Inc.","01/01/2013","2648"
"H0028","033","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-033 (HMO SNP)","Humana Inc.","01/01/2013","962"
"H0028","034","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-034 (HMO SNP)","Humana Inc.","01/01/2013","246"
"H0028","035","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-035 (HMO)","Humana Inc.","01/01/2013","8943"
"H0028","036","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-036 (HMO SNP)","Humana Inc.","01/01/2013","2830"
"H0028","037","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-037 (HMO)","Humana Inc.","01/01/2013","11847"
"H0028","038","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-038 (HMO)","Humana Inc.","01/01/2013","2964"
"H0028","039","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus - Diabetes and Heart (HMO SNP)","Humana Inc.","01/01/2013","366"
"H0028","040","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus - Diabetes and Heart (HMO SNP)","Humana Inc.","01/01/2013","789"
"H0028","041","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-041 (HMO)","Humana Inc.","01/01/2013","1754"
"H0028","042","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-042 (HMO)","Humana Inc.","01/01/2013","12143"
"H0028","043","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-043 (HMO)","Humana Inc.","01/01/2013","36757"
"H0028","801","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Medicare Employer (HMO)","Humana Inc.","01/01/2013","3633"
"H0028","802","Local CCP","HMO","No","CHA HMO, INC.","Humana","Humana Medicare Employer (HMO)","Humana Inc.","01/01/2013","*"
"H0029","","Local CCP","HMO/HMOPOS","No","COORDINATED CARE OF WASHINGTON, INC.","Allwell","","Centene Corporation","01/01/2018","*"
"H0029","801","Local CCP","HMO","Yes","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Allwell Group (HMO)","Centene Corporation","01/01/2018","*"
"H0029","802","Local CCP","HMO","No","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Allwell Group (HMO)","Centene Corporation","01/01/2018","*"
"H0029","803","Local CCP","HMO","Yes","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Allwell Group (HMO)","Centene Corporation","01/01/2018","*"
"H0062","001","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation","01/01/2017","260"
"H0062","002","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation","01/01/2017","445"
"H0062","003","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation","01/01/2017","1226"
"H0062","004","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation","01/01/2017","15"
"H0062","005","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation","01/01/2017","*"
"H0062","009","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation","01/01/2017","11"
"H0062","010","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Medicare (HMO)","Centene Corporation","01/01/2017","*"
"H0062","801","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Group (HMO)","Centene Corporation","01/01/2017","*"
"H0062","802","Local CCP","HMO","No","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Group (HMO)","Centene Corporation","01/01/2017","*"
"H0062","803","Local CCP","HMO","Yes","SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.","Allwell","Allwell Group (HMO)","Centene Corporation","01/01/2017","*"
"H0088","001","Local CCP","Local PPO","Yes","WELLCARE HEALTH INSURANCE OF NEW YORK, INC.","WellCare","WellCare Premier (PPO)","WellCare Health Plans, Inc.","01/01/2018","162"
"H0104","012","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Complete (PPO)","BlueCross BlueShield of Alabama","07/01/2005","40793"
"H0104","014","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Complete (PPO)","BlueCross BlueShield of Alabama","07/01/2005","32057"
"H0104","015","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Premier (PPO)","BlueCross BlueShield of Alabama","07/01/2005","6116"
"H0104","801","Local CCP","Local PPO","No","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 801 (PPO)","BlueCross BlueShield of Alabama","07/01/2005","*"
"H0104","802","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 802 (PPO)","BlueCross BlueShield of Alabama","07/01/2005","1171"
"H0104","804","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 804 (PPO)","BlueCross BlueShield of Alabama","07/01/2005","*"
"H0104","805","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 805 (PPO)","BlueCross BlueShield of Alabama","07/01/2005","*"
"H0104","806","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 806 (PPO)","BlueCross BlueShield of Alabama","07/01/2005","22018"
"H0104","807","Local CCP","Local PPO","Yes","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","Blue Advantage Employer Group Plan 807 (PPO)","BlueCross BlueShield of Alabama","07/01/2005","*"
"H0105","001","National PACE","National PACE","Yes","THE METHODIST OAKS","The Methodist Oaks d.b.a. The Oaks PACE","The Methodist Oaks d.b.a. The Oaks PACE (PACE)","The Methodist Oaks","03/01/2008","100"
"H0105","002","National PACE","National PACE","Yes","THE METHODIST OAKS","The Methodist Oaks d.b.a. The Oaks PACE","The Methodist Oaks d.b.a. The Oaks PACE (PACE)","The Methodist Oaks","03/01/2008","*"
"H0107","003","Local CCP","Local PPO","Yes","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Classic (PPO)","Health Care Service Corporation","01/01/2014","9737"
"H0107","004","Local CCP","Local PPO","Yes","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Optimum (PPO)","Health Care Service Corporation","01/01/2014","2726"
"H0107","801","Local CCP","Local PPO","Yes","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Employer Ideal (PPO)","Health Care Service Corporation","01/01/2014","1030"
"H0107","802","Local CCP","Local PPO","Yes","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Employer Expanded (PPO)","Health Care Service Corporation","01/01/2014","*"
"H0107","803","Local CCP","Local PPO","No","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage (PPO)","Health Care Service Corporation","01/01/2014","*"
"H0111","001","Local CCP","Local PPO","Yes","WELLCARE OF GEORGIA, INC.","WellCare","WellCare Premier (PPO)","WellCare Health Plans, Inc.","01/01/2018","2612"
"H0111","002","Local CCP","Local PPO","Yes","WELLCARE OF GEORGIA, INC.","WellCare","WellCare Prime (PPO)","WellCare Health Plans, Inc.","01/01/2018","1117"
"H0112","001","National PACE","National PACE","Yes","MORSE LIFE HOME CARE, INC.","Palm Beach PACE","Palm Beach PACE (PACE)","Morse Life Home Care, Inc.","11/01/2013","556"
"H0112","002","National PACE","National PACE","Yes","MORSE LIFE HOME CARE, INC.","Palm Beach PACE","Palm Beach PACE (PACE)","Morse Life Home Care, Inc.","11/01/2013","*"
