pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_b16a_bendesc_yn	pbp_b16a_bendesc_ehc	pbp_b16a_bendesc_amo_oe	pbp_b16a_bendesc_lim_oe	pbp_b16a_bendesc_numv_oe	pbp_b16a_bendesc_per_oe	pbp_b16a_bendesc_amo_pc	pbp_b16a_bendesc_lim_pc	pbp_b16a_bendesc_numv_pc	pbp_b16a_bendesc_per_pc	pbp_b16a_bendesc_amo_ft	pbp_b16a_bendesc_lim_ft	pbp_b16a_bendesc_numv_ft	pbp_b16a_bendesc_per_ft	pbp_b16a_bendesc_amo_dx	pbp_b16a_bendesc_lim_dx	pbp_b16a_bendesc_numv_dx	pbp_b16a_bendesc_per_dx	pbp_b16a_maxplan_yn	pbp_b16a_maxplan_in_oon	pbp_b16a_maxplan_amt	pbp_b16a_maxplan_per	pbp_b16a_maxenr_yn	pbp_b16a_maxenr_amt	pbp_b16a_maxenr_per	pbp_b16a_coins_yn	pbp_b16a_coins_ehc	pbp_b16a_coins_cserv_sc_pov_yn	pbp_b16a_coins_cserv_sc_pov	pbp_b16a_coins_pct_minov	pbp_b16a_coins_pct_maxov	pbp_b16a_coins_pct_oe	pbp_b16a_coins_pct_maxoe	pbp_b16a_coins_pct_pc	pbp_b16a_coins_pct_maxpc	pbp_b16a_coins_pct_ft	pbp_b16a_coins_pct_maxft	pbp_b16a_coins_pct_dx	pbp_b16a_coins_pct_maxdx	pbp_b16a_ded_yn	pbp_b16a_ded_amt	pbp_b16a_copay_yn	pbp_b16a_copay_ehc	pbp_b16a_copay_cserv_sc_pov_yn	pbp_b16a_copay_cserv_sc_pov	pbp_b16a_copay_amt_ovmin	pbp_b16a_copay_amt_ovmax	pbp_b16a_copay_amt_oemin	pbp_b16a_copay_amt_oemax	pbp_b16a_copay_amt_pcmin	pbp_b16a_copay_amt_pcmax	pbp_b16a_copay_amt_ftmin	pbp_b16a_copay_amt_ftmax	pbp_b16a_copay_amt_dxmin	pbp_b16a_copay_amt_dxmax	pbp_b16a_auth_yn	pbp_b16a_refer_yn	pbp_b16b_bendesc_yn	pbp_b16b_bendesc_ehc	pbp_b16b_bendesc_amo_es	pbp_b16b_bendesc_lim_es	pbp_b16b_bendesc_numv_es	pbp_b16b_bendesc_per_es	pbp_b16b_bendesc_amo_ds	pbp_b16b_bendesc_lim_ds	pbp_b16b_bendesc_numv_ds	pbp_b16b_bendesc_per_ds	pbp_b16b_bendesc_amo_rs	pbp_b16b_bendesc_lim_rs	pbp_b16b_bendesc_numv_rs	pbp_b16b_bendesc_per_rs	pbp_b16b_bendesc_amo_end	pbp_b16b_bendesc_lim_end	pbp_b16b_bendesc_num_end	pbp_b16b_bendesc_per_end	pbp_b16b_bendesc_amo_peri	pbp_b16b_bendesc_lim_peri	pbp_b16b_bendesc_num_peri	pbp_b16b_bendesc_per_peri	pbp_b16b_bendesc_amo_ext	pbp_b16b_bendesc_lim_ext	pbp_b16b_bendesc_num_ext	pbp_b16b_bendesc_per_ext	pbp_b16b_bendesc_amo_poo	pbp_b16b_bendesc_lim_poo	pbp_b16b_bendesc_numv_poo	pbp_b16b_bendesc_per_poo	pbp_b16b_maxplan_yn	pbp_b16b_maxplan_in_oon	pbp_b16b_maxbene_type	pbp_b16b_maxplan_amt	pbp_b16b_maxplan_per	pbp_b16b_maxenr_yn	pbp_b16b_maxenr_type	pbp_b16b_maxenr_amt	pbp_b16b_maxenr_per	pbp_b16b_coins_yn	pbp_b16b_coins_ehc	pbp_b16b_coins_pct_mc_min	pbp_b16b_coins_pct_mc_max	pbp_b16b_coins_pct_es_min	pbp_b16b_coins_pct_es_max	pbp_b16b_coins_pct_ds_min	pbp_b16b_coins_pct_ds_max	pbp_b16b_coins_pct_rs_min	pbp_b16b_coins_pct_rs_max	pbp_b16b_coins_pct_end_min	pbp_b16b_coins_pct_end_max	pbp_b16b_coins_pct_peri_min	pbp_b16b_coins_pct_peri_max	pbp_b16b_coins_pct_ext_min	pbp_b16b_coins_pct_ext_max	pbp_b16b_coins_pct_poo_min	pbp_b16b_coins_pct_poo_max	pbp_b16b_ded_yn	pbp_b16b_ded_amt	pbp_b16b_copay_yn	pbp_b16b_copay_ehc	pbp_b16b_copay_amt_mc_min	pbp_b16b_copay_amt_mc_max	pbp_b16b_copay_amt_es_min	pbp_b16b_copay_amt_es_max	pbp_b16b_copay_amt_ds_min	pbp_b16b_copay_amt_ds_max	pbp_b16b_copay_amt_rs_min	pbp_b16b_copay_amt_rs_max	pbp_b16b_copay_amt_end_min	pbp_b16b_copay_amt_end_max	pbp_b16b_copay_amt_peri_min	pbp_b16b_copay_amt_peri_max	pbp_b16b_copay_amt_ext_min	pbp_b16b_copay_amt_ext_max	pbp_b16b_copay_amt_poo_min	pbp_b16b_copay_amt_poo_max	pbp_b16b_auth_yn	pbp_b16b_refer_yn
H0022	001	0	1	48	05	H0022_001_0	5	1	1111	2	2	1	6	2	2	1	3	2	2	1	4	2	2	1	3	2				2			2														2		2														2	2	1	1111111	2	1			2	1			2	1			2	1			2	1			2	1			2	1			2					2				2																		2		2																		2	2
H0028	004	0	1	01	01	H0028_004_0	3	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	1		1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001000									2	2	2	3																	1		1			2				1	00001000							50	50									2		1	01000000	45.00	45.00															1	1
H0028	007	0	1	01	01	H0028_007_0	6	1	1110	2	2	3	6	2	2	2	3					2	2	3	6	1		1000.00	3	2			2														2		1	1110	2				0.00	0.00	0.00	0.00			0.00	0.00	2	2	1	1001001									2	2	3	3									2	1			2	2	4	6	1		1			2				1	01000000	20	20															2		1	10001001							0.00	0.00					0.00	0.00	0.00	0.00	1	2
H0028	011	0	1	01	01	H0028_011_0	4	1	1110	2	2	3	6	2	2	2	3					2	2	3	6	1		1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001001									2	2	2	3									2	2	2	3					1		1			2				1	00001001							50	50					50	50			2		1	01000000	45.00	45.00															1	2
H0028	012	0	1	01	01	H0028_012_0	4	2																																																									2																																			2				2																		2		1	01000000	50.00	50.00															1	2
H0028	013	0	1	01	01	H0028_013_0	2	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	3	1		2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	1101111	3	2	2	3					3	2	5	6	3	2	1	3	3	2	5	3	3	1			3	2	6	6	1		1			2				1	10101111			50	50			50	70	70	70	70	70	50	50	70	70	2		1	01000000	50.00	50.00															1	2
H0028	014	0	1	01	01	H0028_014_0	3	1	1110	2	2	3	6	2	2	2	3					2	2	3	6	1		2000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	1001001									2	2	3	3									2	1			2	2	4	6	1		1			2				1	10001001							50	70					50	50	70	70	2		1	01000000	35.00	35.00															1	2
H0028	015	0	1	01	01	H0028_015_0	7	1	1111	2	2	3	6	2	2	2	3	2	2	2	3	2	2	3	6	1		2500.00	3	2			2														2		1	1111	2				0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2	2	1	1101111	2	2	2	3					2	2	5	6	2	2	1	3	2	2	5	6	2	1			2	2	6	6	1		1			2				1	01000000	20	20															2		1	10101111			0.00	0.00			0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1	2
H0028	016	0	1	01	01	H0028_016_0	3	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1		2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	45.00	45.00															1	2
H0028	017	0	1	01	01	H0028_017_0	3	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	1		1000.00	3	2			1	1110	2				0	0	0	0			0	0	2		2														2	2	1	0001000									2	2	2	3																	1		1			2				1	00001000							50	50									2		1	01000000	45.00	45.00															1	2
H0028	018	0	1	01	01	H0028_018_0	2	1	1110	2	2	3	6	2	2	2	3					2	2	3	6	2				2			2														2		1	1110	2				0.00	0.00	0.00	0.00			0.00	0.00	2	2	1	0001001									2	2	2	3									2	2	2	3					2					2				1	01000000	20	20															2		1	00001001							0.00	0.00					0.00	0.00			1	2
H0028	019	0	1	01	01	H0028_019_0	2	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1		2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	45.00	45.00															1	2
H0028	020	0	1	01	01	H0028_020_0	2	1	1111	3	2	3	6	3	2	2	3	3	2	2	3	3	2	3	6	1		2000.00	3	2			1	1111	2				0	0	0	0	0	0	0	0	2		2														2	2	1	0101011	3	2	2	3					3	2	5	6					3	2	5	6	3	2	2	3					1		1			2				1	00101011			50	50			50	70			70	70	50	50			2		1	01000000	45.00	45.00															1	2
H0028	021	0	1	01	01	H0028_021_0	2	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	2				2			2														2		1	1110	2				0.00	0.00	0.00	0.00			0.00	0.00	2	2	2																																			2				2																		2		1	01000000	30.00	30.00															1	2
H0028	022	0	1	01	01	H0028_022_0	2	1	1110	2	2	3	6	2	2	2	3					2	2	1	3	2				2			2														2		1	1110	2				0.00	0.00	0.00	0.00			0.00	0.00	2	2	2																																			2				2																		2		1	01000000	45.00	45.00															1	2
